time,power,soc,current,voltage,output,loss,temp,warning
0.1,0.0,50.0,0.0,380.190942,0.0,0.0,60,
0.2,0.0,50.0,0.0,380.190942,0.0,0.0,60,
0.3,0.0,50.0,0.0,380.190942,0.0,0.0,60,
0.4,0.0,50.0,0.0,380.190942,0.0,0.0,60,
0.5,0.0,50.0,0.0,380.190942,0.0,0.0,60,
0.6,0.0,50.0,0.0,380.190942,0.0,0.0,60,
0.7,0.0,50.0,0.0,380.190942,0.0,0.0,60,
0.8,0.0,50.0,0.0,380.190942,0.0,0.0,60,
0.9,0.0,50.0,0.0,380.190942,0.0,0.0,60,
1.0,0.0,50.0,0.0,380.190942,0.0,0.0,60,
1.1,0.0,50.0,0.0,380.190942,0.0,0.0,60,
1.2,0.0,50.0,0.0,380.190942,0.0,0.0,60,
1.3,0.0,50.0,0.0,380.190942,0.0,0.0,60,
1.4,0.0,50.0,0.0,380.190942,0.0,0.0,60,
1.5,0.0,50.0,0.0,380.190942,0.0,0.0,60,
1.6,0.0,50.0,0.0,380.190942,0.0,0.0,60,
1.7,0.0,50.0,0.0,380.190942,0.0,0.0,60,
1.8,0.0,50.0,0.0,380.190942,0.0,0.0,60,
1.9,0.0,50.0,0.0,380.190942,0.0,0.0,60,
2.0,0.0,50.0,0.0,380.190942,0.0,0.0,60,
2.1,0.0,50.0,0.0,380.190942,0.0,0.0,60,
2.2,0.0,50.0,0.0,380.190942,0.0,0.0,60,
2.3,0.0,50.0,0.0,380.190942,0.0,0.0,60,
2.4,0.0,50.0,0.0,380.190942,0.0,0.0,60,
2.5,0.0,50.0,0.0,380.190942,0.0,0.0,60,
2.6,0.0,50.0,0.0,380.190942,0.0,0.0,60,
2.7,0.0,50.0,0.0,380.190942,0.0,0.0,60,
2.8,0.0,50.0,0.0,380.190942,0.0,0.0,60,
2.9,0.0,50.0,0.0,380.190942,0.0,0.0,60,
3.0,0.0,50.0,0.0,380.190942,0.0,0.0,60,
3.1,0.0,50.0,0.0,380.190942,0.0,0.0,60,
3.2,0.0,50.0,0.0,380.190942,0.0,0.0,60,
3.3,-50000.0,50.188993018349294,-122.4674758903388,408.27166263124064,-50000.0,1756.2032213816358,60,
3.4,-50000.0,50.37768140918416,-122.2700772609976,408.93079582562183,-50000.000000000015,1749.608768794215,60,
3.5,-50000.0,50.56606729439076,-122.0740536138759,409.58744728959005,-49999.999999999985,1743.0702635520795,60,
3.6,-50000.0,50.754152774994665,-121.87939143133383,410.2416283245855,-49999.99999999993,1736.5870287099078,60,
3.7,-50000.0,50.94193993143038,-121.68607737034523,410.89335017207964,-50000.00000000004,1730.1583977678094,60,
3.8,0.0,50.94193993143038,5.419378667137041e-14,383.6750498132047,2.079280380070423e-11,3.6153959346620757e-28,60,
